timestamp,category,lines,reason,location,text_snippet
2026-02-21 20:47:30,Delay,"2, D",Mechanical (Doors),Grand St,"Uptown D trains are delayed while we remove a train with a door problem from service at Grand St. Uptown trains are delayed while we remove a train with a door problem from service at Grand St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update"
2026-02-21 20:44:50,Delay,"2, D, N, Q, R",Mechanical (Doors),De,"Uptown D trains are delayed. Uptown N/Q trains are running via the R from DeKalb Av to Canal St. Uptown trains are delayed. Uptown trains are running via the from DeKalb Av to Canal St . What's Happening? We're removing a train with a door problem from service at ‌ Grand St . Expect uptown delays while they share tracks with rerouted trains. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscrib"
2026-02-21 20:37:54,Delay,"2, D",Mechanical (Doors),Grand St,"Uptown D trains are delayed while we address a door problem on a train at Grand St. Uptown trains are delayed while we address a door problem on a train at Grand St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-21 20:16:52,Service Resumed,"2, D, N, Q",Mechanical (Doors),De,"Uptown D/N/Q trains are running with delays after we removed a train with a door problem from service at DeKalb Av. Uptown trains are running with delays after we removed a train with a door problem from service at DeKalb Av . Uptown trains have resumed regular service over the Manhattan Bridge from DeKalb Av to Canal St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or"
2026-02-21 20:08:00,Delay,"2, D, N, Q, R",Mechanical (Doors),De,"Uptown D trains are delayed. Uptown N/Q trains are running via the R from DeKalb Av to Canal St. Uptown trains are delayed. Uptown trains are running via the from DeKalb Av to Canal St . What's Happening? We're removing a train with a door problem from service at DeKalb Av . Expect uptown delays while they share tracks with rerouted trains. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribe"
2026-02-21 19:57:27,Delay,"2, 4, 6",Mechanical (Doors),Grand Central,"Uptown 4/6 trains are running with delays after we addressed a door problem on a train at Grand Central-42 St. Uptown trains are running with delays after we addressed a door problem on a train at Grand Central-42 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link belo"
2026-02-21 19:54:27,Delay,"2, D, N, Q",Mechanical (Doors),De,"Uptown D/N/Q trains are delayed while we address a door problem on a train at DeKalb Av. Uptown trains are delayed while we address a door problem on a train at DeKalb Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-21 19:20:05,Delay,"2, 6",Mechanical (Doors),Morrison Av,"Pelham Bay Park-bound 6 trains are running with delays after we removed a train with a door problem from service at Morrison Av-Soundview. Pelham Bay Park -bound trains are running with delays after we removed a train with a door problem from service at Morrison Av-Soundview . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your aler"
2026-02-21 18:41:07,Service Resumed,"2, 4, 6",Mechanical (Doors),Spring St,"Downtown 4/6 trains are running with delays after we removed a train with a door problem from service at Spring St. Downtown trains are running with delays after we removed a train with a door problem from service at Spring St . Downtown trains have resumed making local stops from 14 St-Union Sq to Brooklyn Bridge-City Hall . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts"
2026-02-21 18:29:16,Service Change,"2, 4, 6",Mechanical (Doors),Brooklyn Bridge,"Downtown 4/6 trains are running express from 14 St-Union Sq to Brooklyn Bridge-City Hall while we address a door problem on a train at Spring St. Downtown trains are running express from 14 St-Union Sq to Brooklyn Bridge-City Hall while we address a door problem on a train at Spring St . For service to/from bypassed stops, take an uptown train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subsc"
2026-02-21 18:23:09,Delay,"2, A",Unknown,Multiple/System-wide,"A Rockaway Park Shuttle trains are running with delays in both directions after the South Channel Bridge was opened for marine traffic to pass. ‌‌ ‌ trains are running with delays in both directions after the South Channel Bridge was opened for marine traffic to pass. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or wou"
2026-02-21 17:09:53,Delay,"2, A",Medical/Police,Howard Beach,"Uptown A trains are running with delays after EMS responded to someone in need of medical assistance on a train at Howard Beach-JFK Airport. Uptown trains are running with delays after EMS responded to someone in need of medical assistance on a train at Howard Beach-JFK Airport . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your a"
2026-02-21 16:35:31,Info/Other,2,Unknown,Multiple/System-wide,"Awesome job Congratulations on successfully setting up your first real-time email alert. If your route(s) are disrupted during the times you selected, you’ll receive an email alert. You can change your alert settings at any time by clicking on the preferences link at the footer of this or any alert email. Safe travels! Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust"
